,MovieCode,MovieName,CompanyName,BestScreenNum,AverageShare,TotalScreenNum,TotalAudienceNum
194,20188581,더 프레데터,이십세기폭스코리아(주)  20th Century Fox Korea,582,0.1388,3852,168222
195,20176122,안시성,(주)넥스트엔터테인먼트월드(NEW)  Next Entertainment World,1538,0.14313170731707314,28844,5424686
196,20179189,암수살인,(주)쇼박스  Showbox Corp,1177,0.14826666666666663,26816,3782152
197,20189262,더 넌,워너브러더스 코리아(주)  Warner Bros. Korea,824,0.09017142857142858,9629,1009427
198,20188567,더 게스트,(주)스톰픽쳐스코리아  STORM PICTURES KOREA,228,0.0531,228,6025
199,20188342,바니부기: 드래곤 에그를 찾아서,(주)박수엔터테인먼트  Boxoo Entertainment  ,281,0.06284999999999999,561,13649
200,20180367,인디애니페스트 2018 새벽비행 2,-,5,0.0011,5,2806
201,20167903,원더풀 고스트,(주)제이앤씨미디어그룹  ,351,0.04970000000000001,3289,443121
202,20189462,셜록 놈즈,씨네그루(주)키다리이엔티  KIDARI ENT,440,0.04972222222222223,2193,76201
203,20173734,죄 많은 소녀,CGV아트하우스  CGV ARTHOUSE,50,0.0107,50,10995
204,20188242,타샤 튜더,(주)마노엔터테인먼트  Mano Entertainment Inc.,25,0.0053,46,24436
205,20189746,극장판 뽀잉: 슈퍼 변신의 비밀,(주)이수C&E  ,292,0.038112499999999994,1723,35496
206,20189268,루이스,(주)스마일이엔티  Smile Ent.,325,0.04471818181818182,2673,89501
207,20188304,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,씨제이이앤엠(주)  CJ ENM Corp.,454,0.06173636363636364,3695,151054
208,20185222,체실 비치에서,그린나래미디어(주)  ,49,0.00945,96,5549
209,20180610,"FIWOM 2018 웃어봐+수잔과 남자+내일, 또 내일, 그리고 또 내일+여자1 여자2 여자3+루비 파샤의 전설",-,3,0.0006,3,1452
210,20180167,에그엔젤 코코밍: 두근두근 핼러윈 파티,(주)엠제이픽쳐스  ,179,0.0226875,1026,45640
